Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,CPIAUCSL,FEDFUNDS
2020-10-05,88.24987090781406,89.80634644433721,87.661209489483,89.09795379638672,1342600,0.0,0.0,260.352,0.09
2020-10-06,90.07573194432116,92.18095848342438,89.17776675501348,89.39727020263672,2128000,0.0,0.0,260.352,0.09
2020-10-07,90.20544052316315,91.9415014395778,90.20544052316315,91.5124740600586,2108500,0.0,0.0,260.352,0.09
2020-10-08,92.07120595688846,92.71973678863047,90.93378593105946,92.33061981201172,2202500,0.0,0.0,260.352,0.09
2020-10-09,92.78957826575359,93.88708788410487,91.0535173199204,91.16326904296875,1654800,0.0,0.0,260.352,0.09
2020-10-12,91.23311087175453,91.57233793608715,90.18548355024298,91.143310546875,1411700,0.0,0.0,260.352,0.09
2020-10-13,90.59455419045833,91.09342286416761,87.99045910472533,88.43943786621094,2085700,0.0,0.0,260.352,0.09
2020-10-14,88.79862520561778,90.02584551004473,87.60134341623753,88.10021209716797,2230200,0.0,0.0,260.352,0.09
2020-10-15,87.16233425044493,88.49929862637873,86.22445871906154,88.4793472290039,1330100,0.0,0.0,260.352,0.09
2020-10-16,88.67889308250918,89.89613386957618,88.3197070269113,89.29749298095703,1901800,0.0,0.0,260.352,0.09
2020-10-19,89.44716049460284,90.63446283845201,86.77322392636482,87.35191345214844,1557500,0.0,0.0,260.352,0.09
2020-10-20,88.32968472050639,90.26529757907677,87.57140221733474,89.3673324584961,2279200,0.0,0.0,260.352,0.09
2020-10-21,89.12788572685722,89.4272023861532,88.00043756832498,88.7686996459961,3418900,0.0,0.0,260.352,0.09
2020-10-22,90.00588723730792,94.21634015679237,89.50701855229094,94.17642974853516,4377300,0.0,0.0,260.352,0.09
2020-10-23,94.58550759853934,95.45353425590667,93.94695627803355,94.39593505859375,2407400,0.0,0.0,260.352,0.09
2020-10-26,92.70976058894051,92.78958141061415,88.26983205016737,90.17550659179688,2002800,0.0,0.0,260.352,0.09
2020-10-27,90.04579816765732,90.25532210312345,87.27208948082186,87.47163391113281,1667000,0.0,0.0,260.352,0.09
